issn_l,sourcerecord_id,source_title_medline_sourced_journals_are_indicated_in_green,ajcs,top_level_code,subject_area,top_level
0001-4966,12936,Journal of the Acoustical Society of America,3102,31,Physics and Astronomy,Physical Sciences
0001-4966,12936,Journal of the Acoustical Society of America,1201,12,Arts and Humanities,Social Sciences
0002-9505,26997,American Journal of Physics,3100,31,Physics and Astronomy,Physical Sciences
0021-8979,28132,Journal of Applied Physics,3100,31,Physics and Astronomy,Physical Sciences
0022-2488,28544,Journal of Mathematical Physics,2610,26,Mathematics,Physical Sciences
0022-2488,28544,Journal of Mathematical Physics,3109,31,Physics and Astronomy,Physical Sciences
0031-921X,21100490427,Physics Teacher,3100,31,Physics and Astronomy,Physical Sciences
0031-921X,21100490427,Physics Teacher,3304,33,Social Sciences,Social Sciences
0034-6748,15563,Review of Scientific Instruments,3105,31,Physics and Astronomy,Physical Sciences
0047-2689,24644,Journal of Physical and Chemical Reference Data,1606,16,Chemistry,Physical Sciences
0047-2689,24644,Journal of Physical and Chemical Reference Data,3100,31,Physics and Astronomy,Physical Sciences
0047-2689,24644,Journal of Physical and Chemical Reference Data,1600,16,Chemistry,Physical Sciences
0148-6055,14423,Journal of Rheology,2210,22,Engineering,Physical Sciences
0148-6055,14423,Journal of Rheology,2211,22,Engineering,Physical Sciences
0148-6055,14423,Journal of Rheology,3104,31,Physics and Astronomy,Physical Sciences
0148-6055,14423,Journal of Rheology,2500,25,Materials Science,Physical Sciences
0734-2101,28596,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",2508,25,Materials Science,Physical Sciences
0734-2101,28596,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",3110,31,Physics and Astronomy,Physical Sciences
0734-2101,28596,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",3104,31,Physics and Astronomy,Physical Sciences
1042-346X,12160,Journal of Laser Applications,3105,31,Physics and Astronomy,Physical Sciences
1042-346X,12160,Journal of Laser Applications,2204,22,Engineering,Physical Sciences
1042-346X,12160,Journal of Laser Applications,3107,31,Physics and Astronomy,Physical Sciences
1042-346X,12160,Journal of Laser Applications,2504,25,Materials Science,Physical Sciences
1054-1500,27430,Chaos,2604,26,Mathematics,Physical Sciences
1054-1500,27430,Chaos,3100,31,Physics and Astronomy,Physical Sciences
1054-1500,27430,Chaos,2610,26,Mathematics,Physical Sciences
1054-1500,27430,Chaos,3109,31,Physics and Astronomy,Physical Sciences
1055-5269,9500154151,Surface Science Spectra,2508,25,Materials Science,Physical Sciences
1055-5269,9500154151,Surface Science Spectra,3110,31,Physics and Astronomy,Physical Sciences
1055-5269,9500154151,Surface Science Spectra,3104,31,Physics and Astronomy,Physical Sciences
1063-777X,13789,Low Temperature Physics,3100,31,Physics and Astronomy,Physical Sciences
1063-777X,13789,Low Temperature Physics,3101,31,Physics and Astronomy,Physical Sciences
1070-6631,29210,Physics of Fluids,3104,31,Physics and Astronomy,Physical Sciences
1070-6631,29210,Physics of Fluids,1507,15,Chemical Engineering,Physical Sciences
1070-6631,29210,Physics of Fluids,2211,22,Engineering,Physical Sciences
1070-6631,29210,Physics of Fluids,2206,22,Engineering,Physical Sciences
1070-6631,29210,Physics of Fluids,2210,22,Engineering,Physical Sciences
1070-664X,29221,Physics of Plasmas,3104,31,Physics and Astronomy,Physical Sciences
1559-4106,19200156922,Biointerphases,3100,31,Physics and Astronomy,Physical Sciences
1559-4106,19200156922,Biointerphases,1300,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1559-4106,19200156922,Biointerphases,2500,25,Materials Science,Physical Sciences
1559-4106,19200156922,Biointerphases,2502,25,Materials Science,Physical Sciences
1559-4106,19200156922,Biointerphases,1600,16,Chemistry,Physical Sciences
1674-0068,27999,Chinese Journal of Chemical Physics,1606,16,Chemistry,Physical Sciences
1931-9401,21100327726,Applied Physics Reviews,3100,31,Physics and Astronomy,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,3104,31,Physics and Astronomy,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,2500,25,Materials Science,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,1507,15,Chemical Engineering,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,1505,15,Chemical Engineering,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,2204,22,Engineering,Physical Sciences
1941-7012,19700194012,Journal of Renewable and Sustainable Energy,2105,21,Energy,Physical Sciences
2166-2746,21100329308,Journal of Vacuum Science and Technology B,2505,25,Materials Science,Physical Sciences
2166-2746,21100329308,Journal of Vacuum Science and Technology B,2208,22,Engineering,Physical Sciences
2166-2746,21100329308,Journal of Vacuum Science and Technology B,2508,25,Materials Science,Physical Sciences
2166-2746,21100329308,Journal of Vacuum Science and Technology B,1508,15,Chemical Engineering,Physical Sciences
2166-2746,21100329308,Journal of Vacuum Science and Technology B,3105,31,Physics and Astronomy,Physical Sciences
2166-2746,21100329308,Journal of Vacuum Science and Technology B,2504,25,Materials Science,Physical Sciences
0003-6951,27030,Applied Physics Letters,3101,31,Physics and Astronomy,Physical Sciences
0021-9606,28134,Journal of Chemical Physics,1606,16,Chemistry,Physical Sciences
0021-9606,28134,Journal of Chemical Physics,3100,31,Physics and Astronomy,Physical Sciences
2639-0213,21101075718,AVS Quantum Science,2208,22,Engineering,Physical Sciences
2639-0213,21101075718,AVS Quantum Science,1703,17,Computer Science,Physical Sciences
2639-0213,21101075718,AVS Quantum Science,1606,16,Chemistry,Physical Sciences
2639-0213,21101075718,AVS Quantum Science,1705,17,Computer Science,Physical Sciences
2639-0213,21101075718,AVS Quantum Science,3104,31,Physics and Astronomy,Physical Sciences
2639-0213,21101075718,AVS Quantum Science,3107,31,Physics and Astronomy,Physical Sciences
2639-0213,21101075718,AVS Quantum Science,2504,25,Materials Science,Physical Sciences
0734-211X,32160,Journal of Vacuum Science and Technology B: Microelectronics Processing and Phenomena,2200,22,Engineering,Physical Sciences
0031-9015,29173,Journal of the Physical Society of Japan,3100,31,Physics and Astronomy,Physical Sciences
0031-9171,11000153789,Physics of Fluids,2200,22,Engineering,Physical Sciences
0031-9228,29234,Physics Today,3100,31,Physics and Astronomy,Physical Sciences
0001-5210,7100153130,Acta Archaeologica Academiae Scientiarum Hungaricae,3302,33,Social Sciences,Social Sciences
0001-5210,7100153130,Acta Archaeologica Academiae Scientiarum Hungaricae,1204,12,Arts and Humanities,Social Sciences
0001-5830,6000167872,Acta Historiae Artium,1213,12,Arts and Humanities,Social Sciences
0001-5830,6000167872,Acta Historiae Artium,1202,12,Arts and Humanities,Social Sciences
0001-5830,6000167872,Acta Historiae Artium,3316,33,Social Sciences,Social Sciences
0001-6373,18217,Acta Oeconomica,2002,20,"Economics, Econometrics and Finance",Social Sciences
0001-6446,5800222465,Acta Orientalia,1208,12,Arts and Humanities,Social Sciences
0001-6446,5800222465,Acta Orientalia,1202,12,Arts and Humanities,Social Sciences
0001-6446,5800222465,Acta Orientalia,3316,33,Social Sciences,Social Sciences
0002-1873,9500154115,Agrokemia es Talajtan,1111,11,Agricultural and Biological Sciences,Life Sciences
0002-1873,9500154115,Agrokemia es Talajtan,1102,11,Agricultural and Biological Sciences,Life Sciences
0003-567X,7200153164,Antik Tanulmanyok,1208,12,Arts and Humanities,Social Sciences
0003-567X,7200153164,Antik Tanulmanyok,1213,12,Arts and Humanities,Social Sciences
0003-567X,7200153164,Antik Tanulmanyok,1202,12,Arts and Humanities,Social Sciences
0003-567X,7200153164,Antik Tanulmanyok,1203,12,Arts and Humanities,Social Sciences
0003-567X,7200153164,Antik Tanulmanyok,3316,33,Social Sciences,Social Sciences
0003-567X,7200153164,Antik Tanulmanyok,1205,12,Arts and Humanities,Social Sciences
0003-8032,9500154131,Archaeologiai Ertesito,3302,33,Social Sciences,Social Sciences
0003-8032,9500154131,Archaeologiai Ertesito,1202,12,Arts and Humanities,Social Sciences
0003-8032,9500154131,Archaeologiai Ertesito,1204,12,Arts and Humanities,Social Sciences
0025-0295,38492,Magyar Sebeszet,2700,27,Medicine,Health Sciences
0030-6002,16438,Orvosi Hetilap,2700,27,Medicine,Health Sciences
0044-5975,28295,Acta Antiqua Academiae Scientiarum Hungaricae,3310,33,Social Sciences,Social Sciences
0044-5975,28295,Acta Antiqua Academiae Scientiarum Hungaricae,3302,33,Social Sciences,Social Sciences
0044-5975,28295,Acta Antiqua Academiae Scientiarum Hungaricae,1202,12,Arts and Humanities,Social Sciences
0044-5975,28295,Acta Antiqua Academiae Scientiarum Hungaricae,1203,12,Arts and Humanities,Social Sciences
0044-5975,28295,Acta Antiqua Academiae Scientiarum Hungaricae,3316,33,Social Sciences,Social Sciences
0044-5975,28295,Acta Antiqua Academiae Scientiarum Hungaricae,1205,12,Arts and Humanities,Social Sciences
0139-3006,20860,Acta Alimentaria,1106,11,Agricultural and Biological Sciences,Life Sciences
0236-5383,12453,Acta Biologica Hungarica,2808,28,Neuroscience,Life Sciences
0236-5383,12453,Acta Biologica Hungarica,2300,23,Environmental Science,Physical Sciences
0236-5383,12453,Acta Biologica Hungarica,1300,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0236-6290,17063,Acta Veterinaria Hungarica,3400,34,Veterinary,Health Sciences
0238-1249,16645,Acta Phytopathologica et Entomologica Hungarica,1109,11,Agricultural and Biological Sciences,Life Sciences
0238-1249,16645,Acta Phytopathologica et Entomologica Hungarica,1110,11,Agricultural and Biological Sciences,Life Sciences
1216-9803,79684,Acta Ethnographica Hungarica,1210,12,Arts and Humanities,Social Sciences
1216-9803,79684,Acta Ethnographica Hungarica,3316,33,Social Sciences,Social Sciences
1216-9803,79684,Acta Ethnographica Hungarica,3317,33,Social Sciences,Social Sciences
1217-8950,19090,Acta Microbiologica et Immunologica,2400,24,Immunology and Microbiology,Life Sciences
1217-8950,19090,Acta Microbiologica et Immunologica,2700,27,Medicine,Health Sciences
1217-8950,19090,Acta Microbiologica et Immunologica,2725,27,Medicine,Health Sciences
1217-8950,19090,Acta Microbiologica et Immunologica,2726,27,Medicine,Health Sciences
1419-8126,6800153105,Mentalhigiene es Pszichoszomatika,2738,27,Medicine,Health Sciences
1419-8126,6800153105,Mentalhigiene es Pszichoszomatika,3206,32,Psychology,Social Sciences
1585-1923,5800207808,Across Languages and Cultures,3310,33,Social Sciences,Social Sciences
1585-1923,5800207808,Across Languages and Cultures,1203,12,Arts and Humanities,Social Sciences
1788-1994,7100153120,Pollack Periodica,1706,17,Computer Science,Physical Sciences
1788-1994,7100153120,Pollack Periodica,2500,25,Materials Science,Physical Sciences
1788-1994,7100153120,Pollack Periodica,2611,26,Mathematics,Physical Sciences
1788-1994,7100153120,Pollack Periodica,2205,22,Engineering,Physical Sciences
1788-1994,7100153120,Pollack Periodica,1712,17,Computer Science,Physical Sciences
2498-5473,21100824428,Hungarian Journal of Legal Studies,3308,33,Social Sciences,Social Sciences
2498-602X,21100802746,Physiology International,2737,27,Medicine,Health Sciences
2559-8201,21100829208,Acta Linguistica Academica,1208,12,Arts and Humanities,Social Sciences
2559-8201,21100829208,Acta Linguistica Academica,3310,33,Social Sciences,Social Sciences
2559-8201,21100829208,Acta Linguistica Academica,1203,12,Arts and Humanities,Social Sciences
2559-8201,21100829208,Acta Linguistica Academica,3316,33,Social Sciences,Social Sciences
0001-4842,22657,Accounts of Chemical Research,2700,27,Medicine,Health Sciences
0001-4842,22657,Accounts of Chemical Research,1600,16,Chemistry,Physical Sciences
0003-2700,23915,Analytical Chemistry,1602,16,Chemistry,Physical Sciences
0006-2960,16867,Biochemistry,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0009-2665,23340,Chemical Reviews,1600,16,Chemistry,Physical Sciences
0013-936X,21537,Environmental Science & Technology,2304,23,Environmental Science,Physical Sciences
0013-936X,21537,Environmental Science & Technology,1600,16,Chemistry,Physical Sciences
0019-7866,72660,Industrial and Engineering Chemistry,2200,22,Engineering,Physical Sciences
0020-1669,25264,Inorganic Chemistry,1604,16,Chemistry,Physical Sciences
0020-1669,25264,Inorganic Chemistry,1606,16,Chemistry,Physical Sciences
0021-8561,33722,Journal of Agricultural and Food Chemistry,1100,11,Agricultural and Biological Sciences,Life Sciences
0021-8561,33722,Journal of Agricultural and Food Chemistry,1600,16,Chemistry,Physical Sciences
0021-9568,24158,Journal of Chemical & Engineering Data,1500,15,Chemical Engineering,Physical Sciences
0021-9568,24158,Journal of Chemical & Engineering Data,1600,16,Chemistry,Physical Sciences
0021-9576,42042,Journal of Chemical Documentation,2200,22,Engineering,Physical Sciences
0021-9576,42042,Journal of Chemical Documentation,2700,27,Medicine,Health Sciences
0021-9584,24169,Journal of Chemical Education,3304,33,Social Sciences,Social Sciences
0021-9584,24169,Journal of Chemical Education,1600,16,Chemistry,Physical Sciences
0022-2623,23041,Journal of Medicinal Chemistry,3002,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
0022-2623,23041,Journal of Medicinal Chemistry,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0022-3263,25896,Journal of Organic Chemistry,1605,16,Chemistry,Physical Sciences
0024-9297,21100779404,Macromolecules,2505,25,Materials Science,Physical Sciences
0024-9297,21100779404,Macromolecules,1604,16,Chemistry,Physical Sciences
0024-9297,21100779404,Macromolecules,2507,25,Materials Science,Physical Sciences
0024-9297,21100779404,Macromolecules,1605,16,Chemistry,Physical Sciences
0163-3864,23053,Journal of Natural Products,1605,16,Chemistry,Physical Sciences
0163-3864,23053,Journal of Natural Products,2707,27,Medicine,Health Sciences
0163-3864,23053,Journal of Natural Products,3002,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
0163-3864,23053,Journal of Natural Products,3003,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
0163-3864,23053,Journal of Natural Products,3004,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
0163-3864,23053,Journal of Natural Products,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0163-3864,23053,Journal of Natural Products,1602,16,Chemistry,Physical Sciences
0276-7333,26423,Organometallics,1604,16,Chemistry,Physical Sciences
0276-7333,26423,Organometallics,1605,16,Chemistry,Physical Sciences
0276-7333,26423,Organometallics,1606,16,Chemistry,Physical Sciences
0743-7463,26987,Langmuir,1603,16,Chemistry,Physical Sciences
0743-7463,26987,Langmuir,1607,16,Chemistry,Physical Sciences
0743-7463,26987,Langmuir,3110,31,Physics and Astronomy,Physical Sciences
0743-7463,26987,Langmuir,3104,31,Physics and Astronomy,Physical Sciences
0743-7463,26987,Langmuir,2500,25,Materials Science,Physical Sciences
0887-0624,29364,Energy & Fuels,2102,21,Energy,Physical Sciences
0887-0624,29364,Energy & Fuels,2103,21,Energy,Physical Sciences
0887-0624,29364,Energy & Fuels,1500,15,Chemical Engineering,Physical Sciences
0888-5885,13057,Industrial & Engineering Chemistry Research,2209,22,Engineering,Physical Sciences
0888-5885,13057,Industrial & Engineering Chemistry Research,1500,15,Chemical Engineering,Physical Sciences
0888-5885,13057,Industrial & Engineering Chemistry Research,1600,16,Chemistry,Physical Sciences
0893-228X,24649,Chemical Research in Toxicology,3005,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
0893-228X,24649,Chemical Research in Toxicology,2700,27,Medicine,Health Sciences
0897-4756,12878,Chemistry of Materials,2505,25,Materials Science,Physical Sciences
0897-4756,12878,Chemistry of Materials,1500,15,Chemical Engineering,Physical Sciences
0897-4756,12878,Chemistry of Materials,1600,16,Chemistry,Physical Sciences
1043-1802,16876,Bioconjugate Chemistry,1605,16,Chemistry,Physical Sciences
1043-1802,16876,Bioconjugate Chemistry,3003,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1043-1802,16876,Bioconjugate Chemistry,3004,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1043-1802,16876,Bioconjugate Chemistry,2204,22,Engineering,Physical Sciences
1043-1802,16876,Bioconjugate Chemistry,1502,15,Chemical Engineering,Physical Sciences
1043-1802,16876,Bioconjugate Chemistry,1305,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1044-0305,29591,Journal of the American Society for Mass Spectrometry,1607,16,Chemistry,Physical Sciences
1044-0305,29591,Journal of the American Society for Mass Spectrometry,1315,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1083-6160,26400,Organic Process Research & Development,1605,16,Chemistry,Physical Sciences
1083-6160,26400,Organic Process Research & Development,1606,16,Chemistry,Physical Sciences
1089-5639,26969,Journal of Physical Chemistry A,1606,16,Chemistry,Physical Sciences
1520-5207,26970,Journal of Physical Chemistry B,2505,25,Materials Science,Physical Sciences
1520-5207,26970,Journal of Physical Chemistry B,2508,25,Materials Science,Physical Sciences
1520-5207,26970,Journal of Physical Chemistry B,1606,16,Chemistry,Physical Sciences
1520-6033,15541,Biotechnology Progress,1305,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1523-7052,26396,Organic Letters,1605,16,Chemistry,Physical Sciences
1523-7052,26396,Organic Letters,1606,16,Chemistry,Physical Sciences
1523-7052,26396,Organic Letters,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1525-7797,25780,Biomacromolecules,2505,25,Materials Science,Physical Sciences
1525-7797,25780,Biomacromolecules,2507,25,Materials Science,Physical Sciences
1525-7797,25780,Biomacromolecules,2502,25,Materials Science,Physical Sciences
1525-7797,25780,Biomacromolecules,1502,15,Chemical Engineering,Physical Sciences
1528-7483,24672,Crystal Growth & Design,3104,31,Physics and Astronomy,Physical Sciences
1528-7483,24672,Crystal Growth & Design,2500,25,Materials Science,Physical Sciences
1528-7483,24672,Crystal Growth & Design,1600,16,Chemistry,Physical Sciences
1530-6984,17853,Nano Letters,2210,22,Engineering,Physical Sciences
1530-6984,17853,Nano Letters,3104,31,Physics and Astronomy,Physical Sciences
1530-6984,17853,Nano Letters,2500,25,Materials Science,Physical Sciences
1530-6984,17853,Nano Letters,1600,16,Chemistry,Physical Sciences
1530-6984,17853,Nano Letters,1502,15,Chemical Engineering,Physical Sciences
1535-3893,17625,Journal of Proteome Research,1600,16,Chemistry,Physical Sciences
1535-3893,17625,Journal of Proteome Research,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1543-8384,130126,Molecular Pharmaceutics,3002,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1543-8384,130126,Molecular Pharmaceutics,3003,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1543-8384,130126,Molecular Pharmaceutics,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1549-9596,130080,Journal of Chemical Information and Modeling,3309,33,Social Sciences,Social Sciences
1549-9596,130080,Journal of Chemical Information and Modeling,1706,17,Computer Science,Physical Sciences
1549-9596,130080,Journal of Chemical Information and Modeling,1500,15,Chemical Engineering,Physical Sciences
1549-9596,130080,Journal of Chemical Information and Modeling,1600,16,Chemistry,Physical Sciences
1549-9618,5100155074,Journal of Chemical Theory and Computation,1606,16,Chemistry,Physical Sciences
1549-9618,5100155074,Journal of Chemical Theory and Computation,1706,17,Computer Science,Physical Sciences
1554-8929,5300152227,ACS Chemical Biology,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1554-8929,5300152227,ACS Chemical Biology,2700,27,Medicine,Health Sciences
1554-8929,5300152227,ACS Chemical Biology,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1871-5532,4000148108,Journal of Chemical Health and Safety,1504,15,Chemical Engineering,Physical Sciences
1871-5532,4000148108,Journal of Chemical Health and Safety,1600,16,Chemistry,Physical Sciences
1932-7447,5200153123,Journal of Physical Chemistry C,2508,25,Materials Science,Physical Sciences
1932-7447,5200153123,Journal of Physical Chemistry C,1606,16,Chemistry,Physical Sciences
1932-7447,5200153123,Journal of Physical Chemistry C,2100,21,Energy,Physical Sciences
1932-7447,5200153123,Journal of Physical Chemistry C,2504,25,Materials Science,Physical Sciences
1936-0851,11500153511,ACS Nano,3100,31,Physics and Astronomy,Physical Sciences
1936-0851,11500153511,ACS Nano,2200,22,Engineering,Physical Sciences
1936-0851,11500153511,ACS Nano,2500,25,Materials Science,Physical Sciences
1944-8244,19700171101,ACS Applied Materials & Interfaces,2500,25,Materials Science,Physical Sciences
1948-5875,19700177127,ACS Medicinal Chemistry Letters,1605,16,Chemistry,Physical Sciences
1948-5875,19700177127,ACS Medicinal Chemistry Letters,3002,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1948-5875,19700177127,ACS Medicinal Chemistry Letters,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1948-7185,19600166212,Journal of Physical Chemistry Letters,2500,25,Materials Science,Physical Sciences
1948-7185,19600166212,Journal of Physical Chemistry Letters,1606,16,Chemistry,Physical Sciences
1948-7193,19700172804,ACS Chemical Neuroscience,1307,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1948-7193,19700172804,ACS Chemical Neuroscience,2805,28,Neuroscience,Life Sciences
1948-7193,19700172804,ACS Chemical Neuroscience,1314,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1948-7193,19700172804,ACS Chemical Neuroscience,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1948-7193,19700172804,ACS Chemical Neuroscience,2700,27,Medicine,Health Sciences
2155-5435,19700188320,ACS Catalysis,1503,15,Chemical Engineering,Physical Sciences
2155-5435,19700188320,ACS Catalysis,1600,16,Chemistry,Physical Sciences
2156-8944,19700186746,ACS Combinatorial Science,1600,16,Chemistry,Physical Sciences
2156-8944,19700186746,ACS Combinatorial Science,2700,27,Medicine,Health Sciences
2161-1653,21100209317,ACS Macro Letters,2505,25,Materials Science,Physical Sciences
2161-1653,21100209317,ACS Macro Letters,1604,16,Chemistry,Physical Sciences
2161-1653,21100209317,ACS Macro Letters,2507,25,Materials Science,Physical Sciences
2161-1653,21100209317,ACS Macro Letters,1605,16,Chemistry,Physical Sciences
2161-5063,21100218506,ACS Synthetic Biology,1301,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2161-5063,21100218506,ACS Synthetic Biology,2204,22,Engineering,Physical Sciences
2161-5063,21100218506,ACS Synthetic Biology,2700,27,Medicine,Health Sciences
2168-0485,21100248891,ACS Sustainable Chemistry & Engineering,2105,21,Energy,Physical Sciences
2168-0485,21100248891,ACS Sustainable Chemistry & Engineering,1500,15,Chemical Engineering,Physical Sciences
2168-0485,21100248891,ACS Sustainable Chemistry & Engineering,2304,23,Environmental Science,Physical Sciences
2168-0485,21100248891,ACS Sustainable Chemistry & Engineering,1600,16,Chemistry,Physical Sciences
2328-8930,21100403504,Environmental Science and Technology Letters,2307,23,Environmental Science,Physical Sciences
2328-8930,21100403504,Environmental Science and Technology Letters,2310,23,Environmental Science,Physical Sciences
2328-8930,21100403504,Environmental Science and Technology Letters,2311,23,Environmental Science,Physical Sciences
2328-8930,21100403504,Environmental Science and Technology Letters,2312,23,Environmental Science,Physical Sciences
2328-8930,21100403504,Environmental Science and Technology Letters,2303,23,Environmental Science,Physical Sciences
2328-8930,21100403504,Environmental Science and Technology Letters,2304,23,Environmental Science,Physical Sciences
2330-4022,21100368207,ACS Photonics,2208,22,Engineering,Physical Sciences
2330-4022,21100368207,ACS Photonics,3107,31,Physics and Astronomy,Physical Sciences
2330-4022,21100368207,ACS Photonics,1305,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2330-4022,21100368207,ACS Photonics,2504,25,Materials Science,Physical Sciences
2373-8227,21100461918,ACS Infectious Diseases,2725,27,Medicine,Health Sciences
2373-9878,21100461927,ACS Biomaterial Science and Engineering,2204,22,Engineering,Physical Sciences
2373-9878,21100461927,ACS Biomaterial Science and Engineering,2502,25,Materials Science,Physical Sciences
2379-3694,21100824897,ACS Sensors,1507,15,Chemical Engineering,Physical Sciences
2379-3694,21100824897,ACS Sensors,1508,15,Chemical Engineering,Physical Sciences
2379-3694,21100824897,ACS Sensors,3105,31,Physics and Astronomy,Physical Sciences
2379-3694,21100824897,ACS Sensors,1502,15,Chemical Engineering,Physical Sciences
2380-8195,21100832985,ACS Energy Letters,2505,25,Materials Science,Physical Sciences
2380-8195,21100832985,ACS Energy Letters,2102,21,Energy,Physical Sciences
2380-8195,21100832985,ACS Energy Letters,2103,21,Energy,Physical Sciences
2380-8195,21100832985,ACS Energy Letters,2105,21,Energy,Physical Sciences
2380-8195,21100832985,ACS Energy Letters,1601,16,Chemistry,Physical Sciences
2472-3452,21100854624,ACS Earth and Space Chemistry,1912,19,Earth and Planetary Sciences,Physical Sciences
2472-3452,21100854624,ACS Earth and Space Chemistry,1902,19,Earth and Planetary Sciences,Physical Sciences
2472-3452,21100854624,ACS Earth and Space Chemistry,1906,19,Earth and Planetary Sciences,Physical Sciences
2574-0962,21100904205,ACS Applied Energy Materials,2208,22,Engineering,Physical Sciences
2574-0962,21100904205,ACS Applied Energy Materials,2505,25,Materials Science,Physical Sciences
2574-0962,21100904205,ACS Applied Energy Materials,1603,16,Chemistry,Physical Sciences
2574-0962,21100904205,ACS Applied Energy Materials,2102,21,Energy,Physical Sciences
2574-0962,21100904205,ACS Applied Energy Materials,1501,15,Chemical Engineering,Physical Sciences
2574-0970,21100914527,ACS Applied Nano Materials,2500,25,Materials Science,Physical Sciences
2575-9108,21101018849,ACS Pharmacology and Translational Science,2736,27,Medicine,Health Sciences
2575-9108,21101018849,ACS Pharmacology and Translational Science,3004,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2576-6422,21100912215,ACS Applied Bio Materials,2704,27,Medicine,Health Sciences
2576-6422,21100912215,ACS Applied Bio Materials,2204,22,Engineering,Physical Sciences
2576-6422,21100912215,ACS Applied Bio Materials,1600,16,Chemistry,Physical Sciences
2576-6422,21100912215,ACS Applied Bio Materials,2502,25,Materials Science,Physical Sciences
2637-6105,21101028205,ACS Applied Polymer Materials,1605,16,Chemistry,Physical Sciences
2637-6105,21101028205,ACS Applied Polymer Materials,2507,25,Materials Science,Physical Sciences
2637-6105,21101028205,ACS Applied Polymer Materials,1508,15,Chemical Engineering,Physical Sciences
2637-6113,21101019256,ACS Applied Electronic Materials,2505,25,Materials Science,Physical Sciences
2637-6113,21101019256,ACS Applied Electronic Materials,1603,16,Chemistry,Physical Sciences
2637-6113,21101019256,ACS Applied Electronic Materials,2504,25,Materials Science,Physical Sciences
2639-4979,21100944562,ACS Materials Letters,2500,25,Materials Science,Physical Sciences
2639-4979,21100944562,ACS Materials Letters,2204,22,Engineering,Physical Sciences
2639-4979,21100944562,ACS Materials Letters,1500,15,Chemical Engineering,Physical Sciences
2643-6728,21101080487,Accounts of Materials Research,2505,25,Materials Science,Physical Sciences
2643-6728,21101080487,Accounts of Materials Research,2507,25,Materials Science,Physical Sciences
2643-6728,21101080487,Accounts of Materials Research,2501,25,Materials Science,Physical Sciences
2643-6728,21101080487,Accounts of Materials Research,1501,15,Chemical Engineering,Physical Sciences
2690-0637,21101091928,ACS ES and T Water,2312,23,Environmental Science,Physical Sciences
2690-0637,21101091928,ACS ES and T Water,2304,23,Environmental Science,Physical Sciences
2690-0637,21101091928,ACS ES and T Water,1601,16,Chemistry,Physical Sciences
2690-0637,21101091928,ACS ES and T Water,1501,15,Chemical Engineering,Physical Sciences
2692-1944,21101077298,ACS Food Science and Technology,1605,16,Chemistry,Physical Sciences
2692-1944,21101077298,ACS Food Science and Technology,1601,16,Chemistry,Physical Sciences
2692-1944,21101077298,ACS Food Science and Technology,1106,11,Agricultural and Biological Sciences,Life Sciences
2692-1944,21101077298,ACS Food Science and Technology,1602,16,Chemistry,Physical Sciences
2692-1952,21101057642,ACS Agricultural Science and Technology,1110,11,Agricultural and Biological Sciences,Life Sciences
2692-1952,21101057642,ACS Agricultural Science and Technology,1101,11,Agricultural and Biological Sciences,Life Sciences
