values,ind
2090-0023,GOLD OA
2090-1267,GOLD OA
1687-8191,GOLD OA
1687-7101,GOLD OA
2090-2654,GOLD OA
0146-9428,GOLD OA
1070-9622,GOLD OA
1687-9120,GOLD OA
1687-9384,GOLD OA
1058-9244,GOLD OA
1023-621X,GOLD OA
1687-5249,GOLD OA
1687-8434,GOLD OA
1687-6105,GOLD OA
1687-8108,GOLD OA
1687-5915,GOLD OA
1687-9708,GOLD OA
2090-004X,GOLD OA
1687-885X,GOLD OA
1687-5443,GOLD OA
2090-0384,GOLD OA
1687-8477,GOLD OA
1687-5605,GOLD OA
1024-123X,GOLD OA
1555-4309,GOLD OA
0197-6729,GOLD OA
2314-615X,GOLD OA
2090-1402,GOLD OA
2090-0007,GOLD OA
2090-0430,GOLD OA
1687-8337,GOLD OA
2042-0080,GOLD OA
1687-8558,GOLD OA
2090-195X,GOLD OA
2090-0201,GOLD OA
2042-0056,GOLD OA
1687-725X,GOLD OA
2314-6133,GOLD OA
1687-6121,GOLD OA
1085-3375,GOLD OA
1203-6765,GOLD OA
1687-9368,GOLD OA
2090-214X,GOLD OA
1687-9686,GOLD OA
1687-4110,GOLD OA
1687-5265,GOLD OA
1687-806X,GOLD OA
0966-7903,GOLD OA
2090-1305,GOLD OA
2090-2093,GOLD OA
1176-2322,GOLD OA
1687-8787,GOLD OA
1687-7047,GOLD OA
2090-9071,GOLD OA
2090-6919,GOLD OA
2090-6455,GOLD OA
2090-6692,GOLD OA
2090-6773,GOLD OA
2090-7141,GOLD OA
2090-6463,GOLD OA
2090-3456,GOLD OA
2090-6870,GOLD OA
2090-6633,GOLD OA
2090-3529,GOLD OA
2090-6757,GOLD OA
2090-2913,GOLD OA
2090-6676,GOLD OA
2090-3464,GOLD OA
2090-6730,GOLD OA
2090-3189,GOLD OA
2090-4010,GOLD OA
2090-6978,GOLD OA
2090-6951,GOLD OA
2314-4629,GOLD OA
2090-3057,GOLD OA
2090-6811,GOLD OA
2090-6552,GOLD OA
2090-6382,GOLD OA
2090-6897,GOLD OA
2090-665X,GOLD OA
2090-6854,GOLD OA
2090-6536,GOLD OA
2090-7001,GOLD OA
2090-6498,GOLD OA
2090-3480,GOLD OA
2090-6404,GOLD OA
2090-6838,GOLD OA
2090-6706,GOLD OA
2090-679X,GOLD OA
2090-6579,GOLD OA
2314-5765,GOLD OA
2090-6994,GOLD OA
2090-6420,GOLD OA
2090-651X,GOLD OA
2314-6176,GOLD OA
2314-6486,GOLD OA
2356-6124,GOLD OA
2314-4904,GOLD OA
2090-6595,GOLD OA
2314-4386,GOLD OA
2314-436X,GOLD OA
2090-777X,GOLD OA
2296-9373,GOLD OA
2314-6745,GOLD OA
2314-7784,GOLD OA
2314-5749,GOLD OA
2090-6617,GOLD OA
2090-8873,GOLD OA
2090-7850,GOLD OA
2090-3553,GOLD OA
2314-4327,GOLD OA
2633-4682,GOLD OA
1687-5680,GOLD OA
2090-908X,GOLD OA
1064-7449,GOLD OA
2633-4690,GOLD OA
2314-758X,GOLD OA
2314-8888,GOLD OA
2314-7539,GOLD OA
1687-9740,GOLD OA
2314-4939,GOLD OA
2314-5757,GOLD OA
2314-7156,GOLD OA
2633-4674,GOLD OA
2353-8414,GOLD OA
0020-5346,GOLD OA
1817-406X,GOLD OA
1687-6172,GOLD OA
1939-8425,GOLD OA
0104-6632,GOLD OA
0957-4530,GOLD OA
1745-6215,GOLD OA
2190-5991,GOLD OA
0043-6275,GOLD OA
0102-7972,GOLD OA
1933-9747,GOLD OA
0385-7417,GOLD OA
0253-4126,GOLD OA
1750-0680,GOLD OA
1367-5435,GOLD OA
2150-5551,GOLD OA
1556-276X,GOLD OA
2210-7177,GOLD OA
2190-4715,GOLD OA
0019-6061,GOLD OA
1467-4866,GOLD OA
1866-8887,GOLD OA
1025-5834,GOLD OA
1435-0211,GOLD OA
2093-2480,GOLD OA
1674-800X,GOLD OA
0250-5991,GOLD OA
2198-4026,GOLD OA
2196-7822,GOLD OA
2196-1115,GOLD OA
2196-0763,GOLD OA
2194-7511,GOLD OA
2193-2697,GOLD OA
2195-2701,GOLD OA
2197-1927,GOLD OA
2193-8997,GOLD OA
2213-9621,GOLD OA
2196-2804,GOLD OA
2197-7364,GOLD OA
2229-0443,GOLD OA
2198-4034,GOLD OA
2197-4365,GOLD OA
2050-7445,GOLD OA
2045-7022,GOLD OA
2288-8586,GOLD OA
2193-9004,GOLD OA
0019-5235,GOLD OA
1996-6814,GOLD OA
2051-5960,GOLD OA
2001-1326,GOLD OA
2194-7791,GOLD OA
2191-219X,GOLD OA
0016-6987,GOLD OA
2195-9706,GOLD OA
2509-9280,GOLD OA
2363-5169,GOLD OA
2213-7467,GOLD OA
2199-4536,GOLD OA
1550-2783,GOLD OA
2199-8531,GOLD OA
1023-6090,GOLD OA
2524-8502,GOLD OA
0341-2687,GOLD OA
2447-9462,GOLD OA
2510-523X,GOLD OA
2210-464X,GOLD OA
2092-9196,GOLD OA
2662-7655,GOLD OA
2197-120X,GOLD OA
2520-8705,GOLD OA
2194-1459,GOLD OA
2523-8930,GOLD OA
2358-1883,GOLD OA
2198-994X,GOLD OA
1995-6924,GOLD OA
1728-6263,GOLD OA
2045-2322,GOLD OA
1884-4049,GOLD OA
2041-1723,GOLD OA
2052-4463,GOLD OA
2056-7944,GOLD OA
2056-6387,GOLD OA
2057-3995,GOLD OA
2373-8057,GOLD OA
2052-7276,GOLD OA
2055-1010,GOLD OA
2399-3642,GOLD OA
2373-8065,GOLD OA
2662-4443,GOLD OA
2661-8001,GOLD OA
2662-4435,GOLD OA
2730-664X,GOLD OA
2397-4621,GOLD OA
2057-3960,GOLD OA
2399-3669,GOLD OA
2397-768X,GOLD OA
2397-2106,GOLD OA
2398-6352,GOLD OA
2056-7189,GOLD OA
2055-5008,GOLD OA
2163-8306,GOLD OA
2059-0105,GOLD OA
2374-4677,GOLD OA
2059-7037,GOLD OA
2399-3650,GOLD OA
2056-3973,GOLD OA
2396-8370,GOLD OA
2397-3722,GOLD OA
2662-8465,GOLD OA
2397-4648,GOLD OA
2397-7132,GOLD OA
2334-265X,GOLD OA
2056-7936,GOLD OA
2036-7457,GOLD OA
2398-9238,GOLD OA
0034-0111,GOLD OA
2044-6055,GOLD OA
2052-4439,GOLD OA
2056-5933,GOLD OA
2051-1426,GOLD OA
2055-7647,GOLD OA
2053-8790,GOLD OA
2059-7908,GOLD OA
2052-4897,GOLD OA
2054-4774,GOLD OA
2516-5542,GOLD OA
2397-5776,GOLD OA
2053-3624,GOLD OA
2059-8688,GOLD OA
2052-6113,GOLD OA
2632-1009,GOLD OA
2631-4940,GOLD OA
2399-6641,GOLD OA
2397-3269,GOLD OA
2398-8703,GOLD OA
2399-9772,GOLD OA
2632-6140,GOLD OA
1226-3613,GOLD OA
2191-0855,GOLD OA
1990-2573,GOLD OA
1674-2818,GOLD OA
1687-1839,GOLD OA
1661-8726,GOLD OA
1757-4676,GOLD OA
1343-8832,GOLD OA
1687-2762,GOLD OA
1402-9251,GOLD OA
2041-4889,GOLD OA
1129-2369,GOLD OA
1590-9921,GOLD OA
1976-0485,GOLD OA
2158-3188,GOLD OA
1744-4292,GOLD OA
1517-8382,GOLD OA
1687-5176,GOLD OA
0910-6340,GOLD OA
1869-4101,GOLD OA
1672-6421,GOLD OA
1687-4714,GOLD OA
1687-1472,GOLD OA
1875-6883,GOLD OA
2110-5820,GOLD OA
2047-7538,GOLD OA
2193-1127,GOLD OA
2192-113X,GOLD OA
2044-4052,GOLD OA
2044-5385,GOLD OA
2195-7045,GOLD OA
2198-9761,GOLD OA
2192-0567,GOLD OA
2195-2248,GOLD OA
2197-1153,GOLD OA
2446-4732,GOLD OA
2197-4284,GOLD OA
2198-7793,GOLD OA
2198-0802,GOLD OA
2214-594X,GOLD OA
2196-5641,GOLD OA
2199-1197,GOLD OA
2197-4225,GOLD OA
2197-8670,GOLD OA
2196-5633,GOLD OA
2193-2409,GOLD OA
2059-3635,GOLD OA
2197-425X,GOLD OA
2041-7128,GOLD OA
2055-7434,GOLD OA
1869-5760,GOLD OA
2198-2791,GOLD OA
2196-5404,GOLD OA
2196-4092,GOLD OA
2054-345X,GOLD OA
1664-2376,GOLD OA
2093-3134,GOLD OA
2095-4700,GOLD OA
2211-7938,GOLD OA
2192-5372,GOLD OA
1976-6912,GOLD OA
2058-7716,GOLD OA
2363-9024,GOLD OA
2468-0834,GOLD OA
1538-7887,GOLD OA
2190-5495,GOLD OA
2192-1709,GOLD OA
2190-0566,GOLD OA
2056-5968,GOLD OA
2234-6198,GOLD OA
2193-7532,GOLD OA
2365-421X,GOLD OA
2364-4575,GOLD OA
2520-8942,GOLD OA
2509-8020,GOLD OA
2366-0074,GOLD OA
2509-8012,GOLD OA
2364-8228,GOLD OA
2190-5983,GOLD OA
2662-1991,GOLD OA
2364-3412,GOLD OA
2520-1786,GOLD OA
2662-2521,GOLD OA
2524-8987,GOLD OA
2365-7464,GOLD OA
2364-9534,GOLD OA
2522-5774,GOLD OA
2510-3636,GOLD OA
2520-8934,GOLD OA
2662-4966,GOLD OA
2364-1177,GOLD OA
2730-7239,GOLD OA
2730-6151,GOLD OA
2730-7700,GOLD OA
2590-0048,GOLD OA
2561-4150,GOLD OA
2157-9024,GOLD OA
2523-3963,GOLD OA
1017-0839,GOLD OA
2730-6011,GOLD OA
2662-9283,GOLD OA
2197-6678,GOLD OA
1996-1553,GOLD OA
2730-7727,GOLD OA
2662-9984,GOLD OA
2523-398X,GOLD OA
2056-807X,GOLD OA
0253-4142,GOLD OA
0218-2203,GOLD OA
2590-3349,GOLD OA
2364-0022,GOLD OA
1476-069X,GOLD OA
1542-6416,GOLD OA
1813-7253,GOLD OA
1748-5908,GOLD OA
1749-799X,GOLD OA
1465-5411,GOLD OA
1752-1505,GOLD OA
1472-684X,GOLD OA
1471-2369,GOLD OA
2044-5040,GOLD OA
1758-5996,GOLD OA
1752-1947,GOLD OA
1872-9312,GOLD OA
1471-2180,GOLD OA
1756-8722,GOLD OA
1471-230X,GOLD OA
1472-6750,GOLD OA
1471-2466,GOLD OA
1742-4755,GOLD OA
1475-9276,GOLD OA
1425-8153,GOLD OA
1880-7046,GOLD OA
1756-0381,GOLD OA
1476-7120,GOLD OA
1865-1372,GOLD OA
1478-4491,GOLD OA
1476-4598,GOLD OA
1741-7007,GOLD OA
0716-078X,GOLD OA
1546-0096,GOLD OA
1936-6426,GOLD OA
1474-7596,GOLD OA
1741-7015,GOLD OA
1480-9222,GOLD OA
1475-2891,GOLD OA
1750-9378,GOLD OA
1748-7188,GOLD OA
1746-1596,GOLD OA
1746-6148,GOLD OA
1479-5876,GOLD OA
1097-6647,GOLD OA
1756-8935,GOLD OA
1477-7827,GOLD OA
1472-6963,GOLD OA
1880-6546,GOLD OA
1758-9193,GOLD OA
1742-9994,GOLD OA
1757-6512,GOLD OA
1747-1028,GOLD OA
1472-6939,GOLD OA
1475-2859,GOLD OA
1476-511X,GOLD OA
1476-9255,GOLD OA
1755-8166,GOLD OA
1748-717X,GOLD OA
1743-422X,GOLD OA
1348-8945,GOLD OA
1757-7241,GOLD OA
1475-2840,GOLD OA
1742-4690,GOLD OA
1472-6947,GOLD OA
1745-6150,GOLD OA
1471-2318,GOLD OA
1477-7517,GOLD OA
1471-2164,GOLD OA
1745-6673,GOLD OA
1606-0997,GOLD OA
1470-7330,GOLD OA
1756-3305,GOLD OA
2041-1480,GOLD OA
1471-2458,GOLD OA
1749-8104,GOLD OA
1472-6955,GOLD OA
1742-7622,GOLD OA
1471-2431,GOLD OA
1742-2094,GOLD OA
2730-6844,GOLD OA
1742-4933,GOLD OA
2045-3701,GOLD OA
0928-4249,GOLD OA
2040-2392,GOLD OA
1747-597X,GOLD OA
1744-9081,GOLD OA
1749-7922,GOLD OA
1471-2377,GOLD OA
1471-227X,GOLD OA
1744-859X,GOLD OA
1471-2202,GOLD OA
1743-7075,GOLD OA
1472-6823,GOLD OA
1476-0711,GOLD OA
2046-4053,GOLD OA
1471-244X,GOLD OA
1757-1146,GOLD OA
1868-7075,GOLD OA
1749-8090,GOLD OA
1478-811X,GOLD OA
1749-8546,GOLD OA
1757-2215,GOLD OA
1477-3155,GOLD OA
1746-4811,GOLD OA
1756-6606,GOLD OA
2041-9139,GOLD OA
1742-6405,GOLD OA
1479-5868,GOLD OA
1746-4269,GOLD OA
1750-1172,GOLD OA
1758-2946,GOLD OA
1471-2393,GOLD OA
1472-6874,GOLD OA
1590-4261,GOLD OA
1471-2253,GOLD OA
1471-2474,GOLD OA
1756-0500,GOLD OA
0949-2321,GOLD OA
1471-2407,GOLD OA
1471-2415,GOLD OA
1747-5341,GOLD OA
1755-8794,GOLD OA
1478-7954,GOLD OA
1477-9560,GOLD OA
1477-7525,GOLD OA
1753-2000,GOLD OA
1754-9493,GOLD OA
1880-6791,GOLD OA
0716-9760,GOLD OA
1750-1326,GOLD OA
0999-193X,GOLD OA
1076-1551,GOLD OA
1746-4358,GOLD OA
1754-1611,GOLD OA
1756-6614,GOLD OA
1471-2172,GOLD OA
1710-1484,GOLD OA
1752-4458,GOLD OA
1940-0632,GOLD OA
1475-2867,GOLD OA
1720-8424,GOLD OA
1478-6354,GOLD OA
1472-6831,GOLD OA
1751-0759,GOLD OA
1477-7819,GOLD OA
1753-6561,GOLD OA
1471-2482,GOLD OA
1555-8932,GOLD OA
1746-160X,GOLD OA
1756-994X,GOLD OA
1476-072X,GOLD OA
1471-2342,GOLD OA
1471-2105,GOLD OA
1731-2302,GOLD OA
1868-6966,GOLD OA
1744-8603,GOLD OA
1756-9966,GOLD OA
1475-925X,GOLD OA
1478-4505,GOLD OA
1471-2334,GOLD OA
1743-8977,GOLD OA
1743-0003,GOLD OA
1471-2261,GOLD OA
1757-4749,GOLD OA
1476-7961,GOLD OA
1475-2875,GOLD OA
1465-9921,GOLD OA
1472-6920,GOLD OA
1759-8753,GOLD OA
1364-8535,GOLD OA
2045-8118,GOLD OA
0044-605X,GOLD OA
1471-2490,GOLD OA
2042-6410,GOLD OA
1471-2288,GOLD OA
1880-8190,GOLD OA
1477-5956,GOLD OA
2050-6511,GOLD OA
1471-2229,GOLD OA
1478-7547,GOLD OA
1866-1947,GOLD OA
2193-7680,GOLD OA
2059-0628,GOLD OA
2049-9957,GOLD OA
2047-2382,GOLD OA
2054-2690,GOLD OA
2197-1714,GOLD OA
2056-7529,GOLD OA
2191-1991,GOLD OA
2047-2994,GOLD OA
2045-4015,GOLD OA
1226-4601,GOLD OA
2055-0294,GOLD OA
2054-958X,GOLD OA
2052-3211,GOLD OA
2055-5660,GOLD OA
2194-7899,GOLD OA
2054-7099,GOLD OA
1473-9542,GOLD OA
2321-3876,GOLD OA
2052-0492,GOLD OA
2051-4190,GOLD OA
2162-3619,GOLD OA
2050-3385,GOLD OA
2055-5784,GOLD OA
2055-0928,GOLD OA
0778-7367,GOLD OA
1674-9782,GOLD OA
2051-3933,GOLD OA
2050-7771,GOLD OA
2047-9158,GOLD OA
2050-7283,GOLD OA
2055-0464,GOLD OA
2049-3002,GOLD OA
2049-2618,GOLD OA
2397-0642,GOLD OA
2052-1847,GOLD OA
2662-4044,GOLD OA
2051-6673,GOLD OA
2365-6271,GOLD OA
2055-0936,GOLD OA
1916-0208,GOLD OA
2662-9380,GOLD OA
2524-4655,GOLD OA
2056-3132,GOLD OA
2326-0254,GOLD OA
2468-2039,GOLD OA
2050-2974,GOLD OA
1833-2595,GOLD OA
2524-6372,GOLD OA
2057-3804,GOLD OA
2048-7010,GOLD OA
2210-6340,GOLD OA
2730-7182,GOLD OA
2200-6133,GOLD OA
2524-8162,GOLD OA
2662-7671,GOLD OA
2524-4671,GOLD OA
2191-5040,GOLD OA
2046-0481,GOLD OA
2054-7064,GOLD OA
2524-3489,GOLD OA
2321-3868,GOLD OA
2520-8748,GOLD OA
0018-0661,GOLD OA
2397-7523,GOLD OA
2662-2211,GOLD OA
2055-7426,GOLD OA
2332-8886,GOLD OA
2524-4426,GOLD OA
2661-8850,GOLD OA
2056-9920,GOLD OA
2523-3106,GOLD OA
2661-801X,GOLD OA
2047-0525,GOLD OA
2056-306X,GOLD OA
2520-1026,GOLD OA
2522-5782,GOLD OA
2057-0082,GOLD OA
2396-832X,GOLD OA
2366-6196,GOLD OA
2058-8615,GOLD OA
2398-2683,GOLD OA
2054-3085,GOLD OA
2055-8260,GOLD OA
1003-3572,GOLD OA
2095-8811,GOLD OA
2095-882X,GOLD OA
2378-5128,GOLD OA
2196-9736,GOLD OA
2193-6358,GOLD OA
2157-7005,GOLD OA
0120-789X,GOLD OA
2456-4869,GOLD OA
2194-7635,GOLD OA
2791-7452,GOLD OA
2512-9465,GOLD OA
2509-6656,GOLD OA
1749-7221,GOLD OA
2194-7619,GOLD OA
2199-7152,GOLD OA
0048-7619,GOLD OA
1305-7456,GOLD OA
1984-3011,GOLD OA
1698-8396,GOLD OA
0716-4548,GOLD OA
2455-0949,GOLD OA
2509-596X,GOLD OA
2581-9178,GOLD OA
2625-1825,GOLD OA
2475-4757,GOLD OA
2625-2325,GOLD OA
2367-1890,GOLD OA
2456-9224,GOLD OA
2542-7075,GOLD OA
2377-0813,GOLD OA
2509-9396,GOLD OA
2455-7854,GOLD OA
2321-1482,GOLD OA
2699-9404,GOLD OA
2325-4637,GOLD OA
2628-5096,GOLD OA
1869-1722,GOLD OA
2374-7943,GOLD OA
2470-1343,GOLD OA
2694-2453,GOLD OA
2694-2437,GOLD OA
2694-250X,GOLD OA
2691-3704,GOLD OA
1076-0296,GOLD OA
1834-4909,GOLD OA
2042-0188,GOLD OA
1753-9447,GOLD OA
0963-6897,GOLD OA
0973-1296,GOLD OA
1010-4283,GOLD OA
1478-2715,GOLD OA
0002-0397,GOLD OA
2150-1319,GOLD OA
1177-2719,GOLD OA
0972-7531,GOLD OA
1460-4582,GOLD OA
1759-720X,GOLD OA
1461-3484,GOLD OA
2041-7314,GOLD OA
1024-9079,GOLD OA
1756-2872,GOLD OA
0036-8504,GOLD OA
2036-3605,GOLD OA
1868-1026,GOLD OA
0976-500X,GOLD OA
0144-5987,GOLD OA
1526-6028,GOLD OA
1558-9250,GOLD OA
1176-9351,GOLD OA
2042-5333,GOLD OA
1759-3131,GOLD OA
1756-283X,GOLD OA
0046-9580,GOLD OA
1759-0914,GOLD OA
0963-6935,GOLD OA
1555-9475,GOLD OA
1176-9343,GOLD OA
1557-9883,GOLD OA
1744-8069,GOLD OA
1092-5872,GOLD OA
1687-8132,GOLD OA
1559-3258,GOLD OA
0394-6320,GOLD OA
2151-4585,GOLD OA
1879-3665,GOLD OA
1535-7511,GOLD OA
1863-2521,GOLD OA
2156-5899,GOLD OA
0253-7176,GOLD OA
1533-0338,GOLD OA
1534-7354,GOLD OA
1729-8806,GOLD OA
1569-1861,GOLD OA
1745-5057,GOLD OA
0020-2940,GOLD OA
1753-4658,GOLD OA
2041-6695,GOLD OA
2158-2440,GOLD OA
1781-6858,GOLD OA
0956-3202,GOLD OA
1758-8340,GOLD OA
1533-3175,GOLD OA
1479-1641,GOLD OA
1474-7049,GOLD OA
2040-6223,GOLD OA
1748-3018,GOLD OA
1468-6783,GOLD OA
1177-9322,GOLD OA
0300-0605,GOLD OA
1479-9723,GOLD OA
1753-4259,GOLD OA
1179-5549,GOLD OA
1756-2856,GOLD OA
1721-727X,GOLD OA
1756-8277,GOLD OA
1756-8293,GOLD OA
0393-6155,GOLD OA
1073-2748,GOLD OA
1847-9804,GOLD OA
2280-8000,GOLD OA
1940-0829,GOLD OA
2332-8584,GOLD OA
1866-802X,GOLD OA
1849-5435,GOLD OA
2053-9517,GOLD OA
2192-5682,GOLD OA
1179-0695,GOLD OA
2053-1680,GOLD OA
2325-9671,GOLD OA
0145-5613,GOLD OA
1847-9790,GOLD OA
2042-0986,GOLD OA
1747-0161,GOLD OA
2045-1253,GOLD OA
1022-5536,GOLD OA
2333-794X,GOLD OA
2324-7096,GOLD OA
2473-0114,GOLD OA
1178-6302,GOLD OA
2054-3581,GOLD OA
2050-3121,GOLD OA
2210-4917,GOLD OA
2331-2165,GOLD OA
2050-313X,GOLD OA
2055-1029,GOLD OA
1455-0725,GOLD OA
2045-8932,GOLD OA
2043-8087,GOLD OA
2333-7214,GOLD OA
0301-5742,GOLD OA
2055-1169,GOLD OA
1179-5441,GOLD OA
1179-5476,GOLD OA
2056-3051,GOLD OA
2040-6207,GOLD OA
2340-9436,GOLD OA
2058-4601,GOLD OA
2635-0254,GOLD OA
2374-3735,GOLD OA
1179-5557,GOLD OA
2382-1205,GOLD OA
2381-4683,GOLD OA
2471-5492,GOLD OA
1179-5735,GOLD OA
2515-690X,GOLD OA
2055-6683,GOLD OA
2333-3928,GOLD OA
1550-1906,GOLD OA
2055-2076,GOLD OA
2515-2211,GOLD OA
2048-0040,GOLD OA
1178-2242,GOLD OA
2515-2459,GOLD OA
2059-2043,GOLD OA
2514-183X,GOLD OA
2054-2704,GOLD OA
1178-6221,GOLD OA
2010-1058,GOLD OA
2096-6083,GOLD OA
2632-3524,GOLD OA
1179-5581,GOLD OA
2634-8535,GOLD OA
2164-9561,GOLD OA
1179-545X,GOLD OA
1179-5468,GOLD OA
2515-8163,GOLD OA
1179-5484,GOLD OA
2515-8414,GOLD OA
2632-4636,GOLD OA
1178-6469,GOLD OA
2378-0231,GOLD OA
1179-5514,GOLD OA
1178-6388,GOLD OA
2096-5311,GOLD OA
2096-5958,GOLD OA
2515-1355,GOLD OA
1178-2218,GOLD OA
2397-8473,GOLD OA
2307-4841,GOLD OA
2633-0040,GOLD OA
2631-7745,GOLD OA
2059-5131,GOLD OA
1179-5522,GOLD OA
2396-9415,GOLD OA
1178-6329,GOLD OA
2631-8318,GOLD OA
2399-2026,GOLD OA
2049-9361,GOLD OA
2631-7877,GOLD OA
1609-4069,GOLD OA
0256-0909,GOLD OA
1179-173X,GOLD OA
1179-5565,GOLD OA
2055-2173,GOLD OA
1178-6337,GOLD OA
2470-5470,GOLD OA
2377-9608,GOLD OA
2513-826X,GOLD OA
2059-7991,GOLD OA
2470-2897,GOLD OA
2325-9574,GOLD OA
1179-5573,GOLD OA
2515-2564,GOLD OA
1178-2234,GOLD OA
2333-3936,GOLD OA
2152-6567,GOLD OA
2059-4372,GOLD OA
1179-5972,GOLD OA
2633-4895,GOLD OA
1747-5198,GOLD OA
2329-048X,GOLD OA
1179-237X,GOLD OA
1178-6361,GOLD OA
2398-2128,GOLD OA
1179-5727,GOLD OA
2633-9447,GOLD OA
2516-8657,GOLD OA
1179-9161,GOLD OA
2632-010X,GOLD OA
2473-974X,GOLD OA
2059-7002,GOLD OA
2329-7778,GOLD OA
1672-6030,GOLD OA
2473-2877,GOLD OA
2378-0967,GOLD OA
1875-3183,GOLD OA
1874-1967,GOLD OA
1874-9445,GOLD OA
1874-6136,GOLD OA
1874-091X,GOLD OA
1874-2858,GOLD OA
1875-0362,GOLD OA
1875-399X,GOLD OA
1874-3641,GOLD OA
1874-4400,GOLD OA
1874-1045,GOLD OA
1874-3064,GOLD OA
1874-2793,GOLD OA
1874-3722,GOLD OA
1874-8368,GOLD OA
1745-0179,GOLD OA
1876-3863,GOLD OA
1874-3250,GOLD OA
1874-1924,GOLD OA
1874-1495,GOLD OA
1874-2106,GOLD OA
1874-3129,GOLD OA
1874-3501,GOLD OA
1874-4214,GOLD OA
1874-3315,GOLD OA
1874-1231,GOLD OA
1874-205X,GOLD OA
1874-303X,GOLD OA
1874-0707,GOLD OA
1874-1207,GOLD OA
1874-4478,GOLD OA
1876-5246,GOLD OA
2589-6458,GOLD OA
0273-1223,GOLD OA
2008-8752,GOLD OA
2691-1191,GOLD OA
0891-2017,GOLD OA
2158-3226,GOLD OA
2166-532X,GOLD OA
2468-080X,GOLD OA
2688-4089,GOLD OA
2688-4070,GOLD OA
1087-3562,GOLD OA
2160-3308,GOLD OA
2469-9888,GOLD OA
2469-9896,GOLD OA
2691-3399,GOLD OA
2643-1564,GOLD OA
1983-3288,GOLD OA
0909-6396,GOLD OA
1464-7141,GOLD OA
2040-2244,GOLD OA
2043-9083,GOLD OA
2616-6518,GOLD OA
1998-9563,GOLD OA
1134-2196,GOLD OA
2709-8028,GOLD OA
2709-6092,GOLD OA
0736-6205,GOLD OA
2056-5623,GOLD OA
2053-0846,GOLD OA
2631-3316,GOLD OA
1177-5475,GOLD OA
1177-889X,GOLD OA
1178-7031,GOLD OA
1178-7007,GOLD OA
1176-6344,GOLD OA
1555-1741,GOLD OA
1178-7058,GOLD OA
1178-7090,GOLD OA
1178-6930,GOLD OA
1176-6336,GOLD OA
1178-6965,GOLD OA
1176-9114,GOLD OA
1179-318X,GOLD OA
1177-5467,GOLD OA
1179-1357,GOLD OA
1178-7023,GOLD OA
1178-7015,GOLD OA
1178-7074,GOLD OA
1176-6328,GOLD OA
1176-9106,GOLD OA
1176-9092,GOLD OA
1177-8881,GOLD OA
1179-1365,GOLD OA
1179-1616,GOLD OA
1177-8903,GOLD OA
1179-1608,GOLD OA
2324-1128,GOLD OA
2324-481X,GOLD OA
2230-326X,GOLD OA
2253-5969,GOLD OA
1179-1551,GOLD OA
1179-9927,GOLD OA
1179-1373,GOLD OA
1179-1349,GOLD OA
1179-1500,GOLD OA
1179-1470,GOLD OA
1179-7282,GOLD OA
1178-7082,GOLD OA
1179-1519,GOLD OA
2253-2447,GOLD OA
1179-1535,GOLD OA
1178-6981,GOLD OA
1179-156X,GOLD OA
2230-2034,GOLD OA
1179-1411,GOLD OA
1178-2390,GOLD OA
1179-7258,GOLD OA
1179-1578,GOLD OA
1178-6973,GOLD OA
1178-704X,GOLD OA
1179-1594,GOLD OA
1179-271X,GOLD OA
1179-8475,GOLD OA
1179-8467,GOLD OA
1178-7066,GOLD OA
1179-2736,GOLD OA
1179-1543,GOLD OA
1179-1322,GOLD OA
2624-3733,GOLD OA
2230-2476,GOLD OA
2230-522X,GOLD OA
1179-2728,GOLD OA
1179-2752,GOLD OA
1179-2760,GOLD OA
1179-1454,GOLD OA
1178-6949,GOLD OA
2253-1572,GOLD OA
1179-9900,GOLD OA
1179-1586,GOLD OA
1179-9889,GOLD OA
1179-2698,GOLD OA
1179-1489,GOLD OA
1179-1462,GOLD OA
1179-9935,GOLD OA
2253-1564,GOLD OA
1179-1527,GOLD OA
2324-5344,GOLD OA
2230-5254,GOLD OA
1927-7733,GOLD OA
1178-7104,GOLD OA
1179-7266,GOLD OA
1179-3201,GOLD OA
1179-1438,GOLD OA
1179-139X,GOLD OA
1179-1314,GOLD OA
1178-7112,GOLD OA
2253-1556,GOLD OA
1179-2744,GOLD OA
1178-6957,GOLD OA
0236-6568,GOLD OA
1588-970X,GOLD OA
1788-2281,GOLD OA
2062-509X,GOLD OA
2062-5871,GOLD OA
2062-0810,GOLD OA
0027-5247,GOLD OA
2630-936X,GOLD OA
2064-2199,GOLD OA
2559-9283,GOLD OA
2732-0960,GOLD OA
0013-9661,GOLD OA
1024-5332,GOLD OA
1547-691X,GOLD OA
1368-5538,GOLD OA
0785-3890,GOLD OA
1369-6998,GOLD OA
2169-1401,GOLD OA
2331-205X,GOLD OA
2162-5336,GOLD OA
2057-5858,GOLD OA
2516-8290,GOLD OA
1753-318X,GOLD OA
0007-9235,GOLD OA
0890-8575,GOLD OA
0896-4327,GOLD OA
1752-4571,GOLD OA
0730-6679,GOLD OA
1759-7323,GOLD OA
1095-4244,GOLD OA
1752-8054,GOLD OA
1366-9516,GOLD OA
1552-5031,GOLD OA
1082-720X,GOLD OA
1347-9032,GOLD OA
1526-9914,GOLD OA
0891-6640,GOLD OA
1524-6175,GOLD OA
1042-7163,GOLD OA
0887-8013,GOLD OA
1049-8931,GOLD OA
2150-8925,GOLD OA
1467-7644,GOLD OA
1742-4801,GOLD OA
