values,ind
2331-1975,GOLD OA
2332-2039,GOLD OA
2331-1932,GOLD OA
2331-1916,GOLD OA
2331-2025,GOLD OA
2331-1843,GOLD OA
2331-2041,GOLD OA
1759-1953,GOLD OA
2398-3795,GOLD OA
1754-8403,GOLD OA
2046-6390,GOLD OA
2096-157X,GOLD OA
0004-282X,GOLD OA
0102-3616,GOLD OA
0100-7203,GOLD OA
0103-5355,GOLD OA
2371-1671,GOLD OA
2368-7460,GOLD OA
2291-2789,GOLD OA
1712-9532,GOLD OA
1198-2241,GOLD OA
0387-3285,GOLD OA
1864-6042,GOLD OA
1868-1034,GOLD OA
1869-215X,GOLD OA
1613-4796,GOLD OA
1864-7782,GOLD OA
0948-5139,GOLD OA
1605-8127,GOLD OA
0793-0135,GOLD OA
1425-4689,GOLD OA
1730-2439,GOLD OA
1433-7266,GOLD OA
1509-3859,GOLD OA
0075-6334,GOLD OA
0793-0283,GOLD OA
1430-6395,GOLD OA
1862-2976,GOLD OA
2543-6376,GOLD OA
1232-8855,GOLD OA
1868-5021,GOLD OA
1730-413X,GOLD OA
0792-1241,GOLD OA
1642-3402,GOLD OA
1618-7229,GOLD OA
2364-7485,GOLD OA
2224-4018,GOLD OA
2391-5439,GOLD OA
1582-3296,GOLD OA
2364-5504,GOLD OA
2192-8614,GOLD OA
2067-2993,GOLD OA
2081-7738,GOLD OA
0800-6377,GOLD OA
2191-9496,GOLD OA
1313-6917,GOLD OA
1231-0948,GOLD OA
2335-2019,GOLD OA
1027-5207,GOLD OA
2080-0150,GOLD OA
2191-9542,GOLD OA
0171-5860,GOLD OA
0334-8938,GOLD OA
2192-8029,GOLD OA
1898-5238,GOLD OA
2083-3725,GOLD OA
2332-7774,GOLD OA
1649-248X,GOLD OA
2544-6320,GOLD OA
1336-913X,GOLD OA
2451-3458,GOLD OA
2567-9430,GOLD OA
1220-2053,GOLD OA
2564-615X,GOLD OA
2720-1279,GOLD OA
2198-6800,GOLD OA
2544-8986,GOLD OA
2720-1961,GOLD OA
0792-1233,GOLD OA
0137-9585,GOLD OA
2644-5247,GOLD OA
2543-8050,GOLD OA
2545-3858,GOLD OA
2719-8634,GOLD OA
2568-2407,GOLD OA
1867-1691,GOLD OA
2601-9388,GOLD OA
1335-0285,GOLD OA
1454-5144,GOLD OA
1946-0163,GOLD OA
2544-9826,GOLD OA
2246-3755,GOLD OA
1429-9321,GOLD OA
2082-2103,GOLD OA
1842-435X,GOLD OA
2365-242X,GOLD OA
2544-6339,GOLD OA
2657-4233,GOLD OA
1822-4555,GOLD OA
2154-3348,GOLD OA
2544-7297,GOLD OA
2191-9089,GOLD OA
0015-5748,GOLD OA
2451-4950,GOLD OA
1857-9345,GOLD OA
2466-4774,GOLD OA
0170-057X,GOLD OA
2451-3148,GOLD OA
1221-5023,GOLD OA
2719-3004,GOLD OA
2451-8379,GOLD OA
2668-7542,GOLD OA
2391-5544,GOLD OA
1231-0344,GOLD OA
1221-2245,GOLD OA
1335-8987,GOLD OA
2616-1923,GOLD OA
2668-4217,GOLD OA
2193-3685,GOLD OA
2657-4950,GOLD OA
2080-5926,GOLD OA
1805-2371,GOLD OA
2601-6877,GOLD OA
2657-5450,GOLD OA
2601-6141,GOLD OA
2657-3628,GOLD OA
2354-0036,GOLD OA
1854-0678,GOLD OA
2521-702X,GOLD OA
2256-0386,GOLD OA
2576-6724,GOLD OA
2364-768X,GOLD OA
2285-388X,GOLD OA
2451-1765,GOLD OA
1891-6708,GOLD OA
2587-3318,GOLD OA
1898-6196,GOLD OA
2544-7831,GOLD OA
1733-9871,GOLD OA
2049-7156,GOLD OA
2067-2705,GOLD OA
2657-8603,GOLD OA
2544-3577,GOLD OA
2585-7444,GOLD OA
2668-6449,GOLD OA
1337-978X,GOLD OA
2285-1518,GOLD OA
2065-5916,GOLD OA
0874-9493,GOLD OA
1335-3632,GOLD OA
1232-9630,GOLD OA
2545-2843,GOLD OA
2545-0255,GOLD OA
2069-6523,GOLD OA
2344-3871,GOLD OA
2391-5536,GOLD OA
2719-3500,GOLD OA
1691-4333,GOLD OA
2444-8656,GOLD OA
1896-3811,GOLD OA
2628-166X,GOLD OA
2674-4600,GOLD OA
2543-8883,GOLD OA
2545-3254,GOLD OA
2351-8227,GOLD OA
1691-4147,GOLD OA
2344-4150,GOLD OA
2657-3539,GOLD OA
2601-081X,GOLD OA
2729-7640,GOLD OA
2543-8042,GOLD OA
2300-3545,GOLD OA
2543-8875,GOLD OA
1583-1817,GOLD OA
0800-6865,GOLD OA
2585-8084,GOLD OA
2668-3148,GOLD OA
2657-3555,GOLD OA
1220-0506,GOLD OA
2451-0262,GOLD OA
2299-1093,GOLD OA
2544-8951,GOLD OA
2545-2827,GOLD OA
2058-5969,GOLD OA
2544-9990,GOLD OA
1822-7767,GOLD OA
2570-5857,GOLD OA
2003-184X,GOLD OA
2393-0438,GOLD OA
2449-7525,GOLD OA
2065-2720,GOLD OA
2544-8994,GOLD OA
0947-4471,GOLD OA
2719-4523,GOLD OA
2668-7755,GOLD OA
2450-7563,GOLD OA
2451-1781,GOLD OA
2601-5005,GOLD OA
1583-6401,GOLD OA
2451-1935,GOLD OA
1337-9291,GOLD OA
2299-6923,GOLD OA
2450-9728,GOLD OA
2152-2820,GOLD OA
2719-8073,GOLD OA
1220-5818,GOLD OA
1453-0953,GOLD OA
0514-2776,GOLD OA
2067-354X,GOLD OA
1224-7863,GOLD OA
1210-0668,GOLD OA
2080-2234,GOLD OA
0567-8315,GOLD OA
0079-4740,GOLD OA
2391-5455,GOLD OA
1233-2585,GOLD OA
1644-7700,GOLD OA
1730-4237,GOLD OA
0933-4807,GOLD OA
1506-9427,GOLD OA
1897-2810,GOLD OA
1426-8981,GOLD OA
2391-5412,GOLD OA
0081-6272,GOLD OA
2081-6936,GOLD OA
0006-5471,GOLD OA
1318-2099,GOLD OA
1895-8281,GOLD OA
1234-2238,GOLD OA
1803-8417,GOLD OA
1335-342X,GOLD OA
0282-423X,GOLD OA
0868-8257,GOLD OA
0004-1254,GOLD OA
1509-8117,GOLD OA
0029-5922,GOLD OA
0042-790X,GOLD OA
1337-9038,GOLD OA
1426-2630,GOLD OA
1642-5952,GOLD OA
1213-2446,GOLD OA
2029-0454,GOLD OA
1330-0075,GOLD OA
1640-5544,GOLD OA
1641-876X,GOLD OA
1311-0160,GOLD OA
1643-4439,GOLD OA
0860-150X,GOLD OA
0037-5349,GOLD OA
0440-6605,GOLD OA
1335-8871,GOLD OA
1337-6853,GOLD OA
1899-8526,GOLD OA
1318-5454,GOLD OA
1581-4661,GOLD OA
1899-4849,GOLD OA
0035-5429,GOLD OA
1841-6624,GOLD OA
1470-9589,GOLD OA
2299-3231,GOLD OA
2300-9969,GOLD OA
0867-6356,GOLD OA
2300-7443,GOLD OA
1403-1108,GOLD OA
1331-5609,GOLD OA
1335-8421,GOLD OA
0351-0026,GOLD OA
2080-5187,GOLD OA
2457-550X,GOLD OA
1407-6160,GOLD OA
1691-6301,GOLD OA
1223-9666,GOLD OA
0137-6365,GOLD OA
1224-9718,GOLD OA
1311-9702,GOLD OA
1802-4866,GOLD OA
1338-1563,GOLD OA
1336-5452,GOLD OA
2084-1264,GOLD OA
0520-7371,GOLD OA
1847-8344,GOLD OA
2084-7203,GOLD OA
0324-1750,GOLD OA
1339-7834,GOLD OA
2391-5447,GOLD OA
1841-1487,GOLD OA
1017-1274,GOLD OA
0547-3101,GOLD OA
2353-5415,GOLD OA
1583-980X,GOLD OA
0018-0599,GOLD OA
1224-984X,GOLD OA
2300-6560,GOLD OA
2391-8152,GOLD OA
2299-3282,GOLD OA
1335-2555,GOLD OA
1821-0902,GOLD OA
1844-6086,GOLD OA
1800-9581,GOLD OA
2286-2102,GOLD OA
2299-680X,GOLD OA
2068-8008,GOLD OA
1210-8812,GOLD OA
2300-2298,GOLD OA
2300-7451,GOLD OA
1210-3896,GOLD OA
2247-3769,GOLD OA
1230-7831,GOLD OA
2343-8894,GOLD OA
1734-1663,GOLD OA
2299-3274,GOLD OA
2037-0830,GOLD OA
2255-9604,GOLD OA
2367-5144,GOLD OA
2393-1809,GOLD OA
1842-0206,GOLD OA
1898-4088,GOLD OA
2300-6579,GOLD OA
2255-9140,GOLD OA
1896-3307,GOLD OA
1336-9180,GOLD OA
2066-639X,GOLD OA
1841-7051,GOLD OA
1857-8462,GOLD OA
2065-5924,GOLD OA
2353-0626,GOLD OA
1734-7009,GOLD OA
1841-3293,GOLD OA
1844-6094,GOLD OA
0021-5597,GOLD OA
2246-1809,GOLD OA
2353-7396,GOLD OA
2084-8838,GOLD OA
2084-879X,GOLD OA
1802-1115,GOLD OA
1792-345X,GOLD OA
1234-3099,GOLD OA
2066-7744,GOLD OA
1584-3734,GOLD OA
2065-748X,GOLD OA
1804-8722,GOLD OA
2084-980X,GOLD OA
2300-5009,GOLD OA
1338-8339,GOLD OA
0452-599X,GOLD OA
2344-1496,GOLD OA
1338-6891,GOLD OA
2256-0939,GOLD OA
2303-5005,GOLD OA
2354-0079,GOLD OA
2081-9943,GOLD OA
1336-5835,GOLD OA
1406-9954,GOLD OA
2063-997X,GOLD OA
0801-5775,GOLD OA
2296-990X,GOLD OA
1899-1998,GOLD OA
2299-0518,GOLD OA
0867-6046,GOLD OA
0044-2011,GOLD OA
2501-5974,GOLD OA
2080-7279,GOLD OA
2069-7554,GOLD OA
1509-9415,GOLD OA
1847-5450,GOLD OA
2300-5289,GOLD OA
1730-1912,GOLD OA
2391-5471,GOLD OA
0379-3664,GOLD OA
2233-1999,GOLD OA
1684-4769,GOLD OA
2049-4092,GOLD OA
2183-3311,GOLD OA
2543-6597,GOLD OA
2067-9785,GOLD OA
2391-5463,GOLD OA
1407-009X,GOLD OA
2450-6966,GOLD OA
2081-4836,GOLD OA
1338-5615,GOLD OA
2391-9531,GOLD OA
2299-3134,GOLD OA
2083-134X,GOLD OA
0071-6677,GOLD OA
2255-7563,GOLD OA
1336-1589,GOLD OA
0551-3677,GOLD OA
1337-7590,GOLD OA
2255-8837,GOLD OA
2453-6725,GOLD OA
1336-5266,GOLD OA
1231-3726,GOLD OA
2067-5151,GOLD OA
1854-7400,GOLD OA
1582-6384,GOLD OA
2451-4160,GOLD OA
2451-3474,GOLD OA
0860-2107,GOLD OA
2286-2218,GOLD OA
1803-2427,GOLD OA
0420-1213,GOLD OA
0039-2472,GOLD OA
2084-848X,GOLD OA
1392-1142,GOLD OA
1336-9024,GOLD OA
2353-0707,GOLD OA
1849-8531,GOLD OA
1804-3216,GOLD OA
2391-5420,GOLD OA
2081-3910,GOLD OA
0081-6485,GOLD OA
2450-7393,GOLD OA
2182-2824,GOLD OA
