cr_year,issn_l,oa_all,n,prop
2018,0005-7967,4,117,0.03418803418803419
2018,0005-8912,15,106,0.14150943396226415
2018,0006-1972,23,108,0.21296296296296297
2018,0006-291X,115,2526,0.045526524148851936
2018,0006-2928,3,60,0.05
2018,0006-2952,24,394,0.06091370558375635
2018,0006-3088,17,173,0.09826589595375723
2018,0006-3207,35,441,0.07936507936507936
2018,0006-3223,39,407,0.09582309582309582
2018,0006-3231,29,94,0.30851063829787234
2018,0006-3363,17,269,0.06319702602230483
2018,0006-341X,7,120,0.058333333333333334
2018,0006-3444,5,71,0.07042253521126761
2018,0006-3495,60,3982,0.015067805123053743
2018,0006-3525,2,50,0.04
2018,0006-3568,20,167,0.11976047904191617
2018,0006-3592,16,252,0.06349206349206349
2018,0006-3606,3,69,0.043478260869565216
2018,0006-3657,1,61,0.01639344262295082
2018,0006-3835,9,50,0.18
2018,0006-8055,6,68,0.08823529411764706
2018,0006-8101,2,9,0.2222222222222222
2018,0006-8314,19,88,0.2159090909090909
2018,0006-8950,94,343,0.27405247813411077
2018,0006-8977,4,37,0.10810810810810811
2018,0006-8993,18,405,0.044444444444444446
2018,0007-0610,3,1142,0.002626970227670753
2018,0007-0874,2,94,0.02127659574468085
2018,0007-0904,1,55,0.01818181818181818
2018,0007-0912,17,565,0.03008849557522124
2018,0007-0920,390,436,0.8944954128440367
2018,0007-0955,9,69,0.13043478260869565
2018,0007-0963,65,1243,0.05229283990345937
2018,0007-0998,6,52,0.11538461538461539
2018,0007-1005,1,46,0.021739130434782608
2018,0007-1013,10,122,0.08196721311475409
2018,0007-1048,39,542,0.07195571955719557
2018,0007-1080,2,60,0.03333333333333333
2018,0007-1102,1,26,0.038461538461538464
2018,0007-1145,26,398,0.06532663316582915
2018,0007-1161,5,352,0.014204545454545454
2018,0007-1188,48,332,0.14457831325301204
2018,0007-1234,3,69,0.043478260869565216
2018,0007-1250,33,313,0.10543130990415335
2018,0007-1269,9,75,0.12
2018,0007-1323,39,286,0.13636363636363635
2018,0007-1420,5,48,0.10416666666666667
2018,0007-4551,4,171,0.023391812865497075
2018,0007-4853,2,91,0.02197802197802198
2018,0007-4861,10,258,0.03875968992248062
2018,0007-6503,1,42,0.023809523809523808
2018,0007-6791,4,112,0.03571428571428571
2018,0007-6813,1,105,0.009523809523809525
2018,0008-0624,1,58,0.017241379310344827
2018,0008-1973,1,88,0.011363636363636364
2018,0008-199X,1,39,0.02564102564102564
2018,0008-347X,1,73,0.0136986301369863
2018,0008-3658,3,73,0.0410958904109589
2018,0008-3968,2,66,0.030303030303030304
2018,0008-4131,1,43,0.023255813953488372
2018,0008-4182,5,228,0.021929824561403508
2018,0008-4239,1,110,0.00909090909090909
2018,0008-4263,20,140,0.14285714285714285
2018,0008-543X,28,579,0.04835924006908463
2018,0008-6215,4,171,0.023391812865497075
2018,0008-6223,24,1056,0.022727272727272728
2018,0008-6312,4,108,0.037037037037037035
2018,0008-6363,33,302,0.10927152317880795
2018,0008-6568,8,88,0.09090909090909091
2018,0008-7041,2,49,0.04081632653061224
